node,cluster,x,y
GailWaldby,0,1.4421492,-18.407085
GalaticWind,2,-36.02536,56.359688
Gambiste1,0,4.5518384,-24.328876
GamblerKey,2,-33.52272,58.191586
GameSta72892799,2,-35.36427,56.268997
GanjasmokerCb,1,3.6108758,19.35613
GarySternNY,0,-10.08634,-7.3076086
Gate_15_Analyst,0,-10.0656185,-7.2916636
GavaTatenda,0,-9.415838,-6.947037
GavinGeddes17,2,-34.67828,56.112904
Gazza3The,0,4.4758735,-24.233847
GbAfrique,1,3.4295502,19.350239
GeneOnlineNews,2,-8.533083,46.639538
GeoKabat,0,4.6923795,-24.467243
GeraldoRivera,0,4.6924844,-24.429321
GetMyGist,1,-10.160619,10.139332
Getrealorelse,0,4.6298285,-24.366293
Gillian321,1,-6.956258,11.727081
Gina_Alcera,2,-33.126682,58.35081
GingerMcFall,1,3.487021,19.371788
GladstoneMarian,0,4.6743383,-24.31261
Glo_man,0,4.636257,-24.45999
GlobalPandemics,2,-35.624416,56.30884
GoSolar01,2,-35.674015,56.20183
GodsgiftEli,0,4.553419,-24.381098
Gomez15000,1,3.4328775,19.47482
GoodRobinHood,0,4.5832787,-22.48011
GosOne,2,-35.6408,56.314735
Gourisa31331090,2,-35.68742,56.22454
GozPop,1,3.4983964,19.557621
GrPressing,1,-8.730445,27.375368
GraceBride1,0,3.3945184,-8.632777
GrammyTammyMAGA,0,-10.16037,-7.3244624
Granddaddog,0,4.555685,-24.410225
GrandmaLiz_,0,4.5543776,-23.025486
Grandmc9,0,3.382652,-8.585994
GrantGeek,2,-36.175797,56.956127
GreatGameIndia,1,2.8699121,19.303022
GreaterPak333,2,-28.92003,58.175484
GreenPe52440502,1,3.4681633,19.460257
GregEva82782639,0,4.415734,-24.380602
GregoryDEvans,1,3.419406,19.385487
GreyWol27926578,0,4.4113975,-24.430338
GrimKeeper_,1,-10.1605425,10.191793
GrimesElonTrump,0,5.007151,-20.972075
Gscene,2,-34.301685,57.40646
GuineeTags,1,-6.176139,28.207287
GullstrandJean,0,4.554387,-21.670897
Gummbyman32,0,-10.01388,-7.273519
Gustavi41308746,1,3.6002612,19.493565
HAQQ77453148,2,-34.344696,56.08094
HDAconnect,0,4.5016336,-24.392998
HKerFoockCCP,0,0.9504171,-10.337837
HaMim78055199,2,-33.870766,56.091076
HamiltonRosalie,2,-36.447376,57.261982
Hanifa111222,2,-28.90043,58.18199
Hansa11223,1,3.2302763,18.922117
HarmonyMindBody,2,-36.489403,57.29242
HarryPotterMAGE,0,6.322277,-22.337328
