,date,user,is_retweet,is_quote,text,quoted_text,lat,long,hts,mentions,                    tweet_id,likes,retweets,replies,quote_count,original_tweet_id
53075,2020-11-02 16:07:17,1000rrKnight,False,True,"Translation: We will increase your taxes to pay for it so we can enrich ourselves &amp; our friends. Mask mandates for the foreseeable future"" (masks forever).""",This is my commitment to you: We will make sure every American has access to a free and safe COVID-19 vaccine.,,,,,1323295627825074177,0,0,0,0,
63825,2020-11-02 16:07:17,1000rrKnight,False,True,"Translation: We will increase your taxes to pay for it so we can enrich ourselves &amp; our friends. Mask mandates for the foreseeable future"" (masks forever).""",This is my commitment to you: We will make sure every American has access to a free and safe COVID-19 vaccine.,,,,,1323295627825074177,0,0,0,0,
74575,2020-11-02 16:07:17,1000rrKnight,False,True,"Translation: We will increase your taxes to pay for it so we can enrich ourselves &amp; our friends. Mask mandates for the foreseeable future"" (masks forever).""",This is my commitment to you: We will make sure every American has access to a free and safe COVID-19 vaccine.,,,,,1323295627825074177,0,0,0,0,
85325,2020-11-02 16:07:17,1000rrKnight,False,True,"Translation: We will increase your taxes to pay for it so we can enrich ourselves &amp; our friends. Mask mandates for the foreseeable future"" (masks forever).""",This is my commitment to you: We will make sure every American has access to a free and safe COVID-19 vaccine.,,,,,1323295627825074177,0,0,0,0,
96075,2020-11-02 16:07:17,1000rrKnight,False,True,"Translation: We will increase your taxes to pay for it so we can enrich ourselves &amp; our friends. Mask mandates for the foreseeable future"" (masks forever).""",This is my commitment to you: We will make sure every American has access to a free and safe COVID-19 vaccine.,,,,,1323295627825074177,0,0,0,0,
4571,2020-11-02 16:01:59,A2Zsalesnet,False,False,"Along with wearing masks and ensuring frequent hand washing, new research suggests that effective indoor #ventilation is just as important in preventing the spread of highly contagious coronavirus disease 2019 (COVID-19).  #HVAC #Filtration #IAQ https://t.co/FX1FJjbZsQ",,,,,,1323294291012296704,0,0,0,0,
15321,2020-11-02 16:01:59,A2Zsalesnet,False,False,"Along with wearing masks and ensuring frequent hand washing, new research suggests that effective indoor #ventilation is just as important in preventing the spread of highly contagious coronavirus disease 2019 (COVID-19).  #HVAC #Filtration #IAQ https://t.co/FX1FJjbZsQ",,,,,,1323294291012296704,0,0,0,0,
26071,2020-11-02 16:01:59,A2Zsalesnet,False,False,"Along with wearing masks and ensuring frequent hand washing, new research suggests that effective indoor #ventilation is just as important in preventing the spread of highly contagious coronavirus disease 2019 (COVID-19).  #HVAC #Filtration #IAQ https://t.co/FX1FJjbZsQ",,,,,,1323294291012296704,0,0,0,0,
36821,2020-11-02 16:01:59,A2Zsalesnet,False,False,"Along with wearing masks and ensuring frequent hand washing, new research suggests that effective indoor #ventilation is just as important in preventing the spread of highly contagious coronavirus disease 2019 (COVID-19).  #HVAC #Filtration #IAQ https://t.co/FX1FJjbZsQ",,,,,,1323294291012296704,0,0,0,0,
47571,2020-11-02 16:01:59,A2Zsalesnet,False,False,"Along with wearing masks and ensuring frequent hand washing, new research suggests that effective indoor #ventilation is just as important in preventing the spread of highly contagious coronavirus disease 2019 (COVID-19).  #HVAC #Filtration #IAQ https://t.co/FX1FJjbZsQ",,,,,,1323294291012296704,0,0,0,0,
58321,2020-11-02 16:01:59,A2Zsalesnet,False,False,"Along with wearing masks and ensuring frequent hand washing, new research suggests that effective indoor #ventilation is just as important in preventing the spread of highly contagious coronavirus disease 2019 (COVID-19).  #HVAC #Filtration #IAQ https://t.co/FX1FJjbZsQ",,,,,,1323294291012296704,0,0,0,0,
