,index,Unnamed: 0,date,user,is_retweet,is_quote,text,quoted_text,lat,long,hts,mentions,                    tweet_id,likes,retweets,replies,quote_count,original_tweet_id
843,7595,90348,2020-11-02 16:00:24,luchaporpaz,True,False,RT @JoeBiden: This is my commitment to you: We will make sure every American has access to a free and safe COVID-19 vaccine.,,,,,,1323293892989480964,0,0,0,0,1.3232912756137574e+18
844,7604,96132,2020-11-02 16:09:21,lucysavatar,True,True,"RT @RepDonBeyer: This was a lie. They knew it wasn't going to happen and they said it anyways, as they have done from the beginning of the…",Chief of Staff Mark Meadows says WH aiming to have 100 million doses of Coronavirus vaccine ready to go by end of October. Says goal is to make the the most vulnerable and highest risk people are vaccinated in that first group. Says up to 300 million doses would be ready in Jan. https://t.co/7YHttsd5au,,,,,1323296145095892993,0,0,0,0,1.3232869408971284e+18
845,7613,89724,2020-11-02 15:56:36,madamjay66,True,False,RT @JoeBiden: This is my commitment to you: We will make sure every American has access to a free and safe COVID-19 vaccine.,,,,,,1323292936570896384,0,0,0,0,1.3232912756137574e+18
846,7622,95240,2020-11-02 15:41:22,madcity_ben,True,True,"RT @RepDonBeyer: This was a lie. They knew it wasn't going to happen and they said it anyways, as they have done from the beginning of the…",Chief of Staff Mark Meadows says WH aiming to have 100 million doses of Coronavirus vaccine ready to go by end of October. Says goal is to make the the most vulnerable and highest risk people are vaccinated in that first group. Says up to 300 million doses would be ready in Jan. https://t.co/7YHttsd5au,,,,,1323289101806817283,0,0,0,0,1.3232869408971284e+18
847,7647,88382,2020-11-02 15:50:43,magsmom7,True,False,RT @JoeBiden: This is my commitment to you: We will make sure every American has access to a free and safe COVID-19 vaccine.,,,,,,1323291456979623939,0,0,0,0,1.3232912756137574e+18
848,7648,95598,2020-11-02 15:54:22,magsmom7,True,True,RT @donwinslow: Dear @MarkMeadows   All you do is lie.  Every day.  Every way.  You just lie.,Chief of Staff Mark Meadows says WH aiming to have 100 million doses of Coronavirus vaccine ready to go by end of October. Says goal is to make the the most vulnerable and highest risk people are vaccinated in that first group. Says up to 300 million doses would be ready in Jan. https://t.co/7YHttsd5au,,,,donwinslow;MarkMeadows,1323292374139719680,0,0,0,0,1.3232917607605617e+18
849,7649,95686,2020-11-02 15:55:44,magsmom7,True,True,"RT @RepDonBeyer: This was a lie. They knew it wasn't going to happen and they said it anyways, as they have done from the beginning of the…",Chief of Staff Mark Meadows says WH aiming to have 100 million doses of Coronavirus vaccine ready to go by end of October. Says goal is to make the the most vulnerable and highest risk people are vaccinated in that first group. Says up to 300 million doses would be ready in Jan. https://t.co/7YHttsd5au,,,,,1323292719918186496,0,0,0,0,1.3232869408971284e+18
850,7658,88966,2020-11-02 15:52:38,maliniagarwal,False,True,"Gosh, I was thinking the same thing as I was arranging my collection of Covid masks today! #COVID19 #coronavirus #RandomThoughts",@maliniagarwal @realDonaldTrump Will COVID go away or will we get used to the COVID style of living?,,,COVID19;coronavirus,,1323291937462390784,0,0,0,0,
851,7667,93512,2020-11-02 16:29:59,manhattan_liz,True,False,RT @JoeBiden: This is my commitment to you: We will make sure every American has access to a free and safe COVID-19 vaccine.,,,,,,1323301336797061121,0,0,0,0,1.3232912756137574e+18
852,7684,88928,2020-11-02 15:52:28,march4progress,False,True,"Access to a free and safe COVID-19 vaccine."" #Biden   How about everybody gets a free and safe COVID-19 vaccine? 🤔 #HealthcareIsAHumanRight""",This is my commitment to you: We will make sure every American has access to a free and safe COVID-19 vaccine.,,,,,1323291896911958016,0,0,0,0,
